survived,pclass,sex,age,sibsp,parch,fare
survived,1st,female,29,0,0,211.3375
survived,1st,male,0.9167,1,2,151.55
died,1st,female,2,1,2,151.55
died,1st,male,30,1,2,151.55
died,1st,female,25,1,2,151.55
survived,1st,male,48,0,0,26.55
survived,1st,female,63,1,0,77.9583
died,1st,male,39,0,0,0
survived,1st,female,53,2,0,51.4792
died,1st,male,71,0,0,49.5042
died,1st,male,47,1,0,227.525
survived,1st,female,18,1,0,227.525
survived,1st,female,24,0,0,69.3
survived,1st,female,26,0,0,78.85
survived,1st,male,80,0,0,30
died,1st,male,NA,0,0,25.925
died,1st,male,24,0,1,247.5208
survived,1st,female,50,0,1,247.5208
survived,1st,female,32,0,0,76.2917
died,1st,male,36,0,0,75.2417
survived,1st,male,37,1,1,52.5542
survived,1st,female,47,1,1,52.5542
survived,1st,male,26,0,0,30
survived,1st,female,42,0,0,227.525
survived,1st,female,29,0,0,221.7792
died,1st,male,25,0,0,26
survived,1st,male,25,1,0,91.0792
survived,1st,female,19,1,0,91.0792
survived,1st,female,35,0,0,135.6333
survived,1st,male,28,0,0,26.55
died,1st,male,45,0,0,35.5
survived,1st,male,40,0,0,31
survived,1st,female,30,0,0,164.8667
survived,1st,female,58,0,0,26.55
died,1st,male,42,0,0,26.55
survived,1st,female,45,0,0,262.375
survived,1st,female,22,0,1,55
survived,1st,male,NA,0,0,26.55
died,1st,male,41,0,0,30.5
died,1st,male,48,0,0,50.4958
died,1st,male,NA,0,0,39.6
survived,1st,female,44,0,0,27.7208
survived,1st,female,59,2,0,51.4792
survived,1st,female,60,0,0,76.2917
survived,1st,female,41,0,0,134.5
died,1st,male,45,0,0,26.55
died,1st,male,NA,0,0,31
survived,1st,male,42,0,0,26.2875
survived,1st,female,53,0,0,27.4458
survived,1st,male,36,0,1,512.3292
survived,1st,female,58,0,1,512.3292
died,1st,male,33,0,0,5
died,1st,male,28,0,0,47.1
died,1st,male,17,0,0,47.1
survived,1st,male,11,1,2,120
survived,1st,female,14,1,2,120
survived,1st,male,36,1,2,120
survived,1st,female,36,1,2,120
died,1st,male,49,0,0,26
survived,1st,female,NA,0,0,27.7208
died,1st,male,36,1,0,78.85
survived,1st,female,76,1,0,78.85
died,1st,male,46,1,0,61.175
survived,1st,female,47,1,0,61.175
survived,1st,male,27,1,0,53.1
survived,1st,female,33,1,0,53.1
survived,1st,female,36,0,0,262.375
survived,1st,female,30,0,0,86.5
survived,1st,male,45,0,0,29.7
survived,1st,female,NA,0,1,55
died,1st,male,NA,0,0,0
died,1st,male,27,1,0,136.7792
survived,1st,female,26,1,0,136.7792
survived,1st,female,22,0,0,151.55
died,1st,male,NA,0,0,52
died,1st,male,47,0,0,25.5875
survived,1st,female,39,1,1,83.1583
died,1st,male,37,1,1,83.1583
survived,1st,female,64,0,2,83.1583
survived,1st,female,55,2,0,25.7
died,1st,male,NA,0,0,26.55
died,1st,male,70,1,1,71
survived,1st,female,36,0,2,71
survived,1st,female,64,1,1,26.55
died,1st,male,39,1,0,71.2833
survived,1st,female,38,1,0,71.2833
survived,1st,male,51,0,0,26.55
survived,1st,male,27,0,0,30.5
survived,1st,female,33,0,0,151.55
died,1st,male,31,1,0,52
survived,1st,female,27,1,2,52
survived,1st,male,31,1,0,57
survived,1st,female,17,1,0,57
survived,1st,male,53,1,1,81.8583
survived,1st,male,4,0,2,81.8583
survived,1st,female,54,1,1,81.8583
died,1st,male,50,1,0,106.425
survived,1st,female,27,1,1,247.5208
survived,1st,female,48,1,0,106.425
survived,1st,female,48,1,0,39.6
survived,1st,male,49,1,0,56.9292
died,1st,male,39,0,0,29.7
survived,1st,female,23,0,1,83.1583
survived,1st,female,38,0,0,227.525
survived,1st,female,54,1,0,78.2667
died,1st,female,36,0,0,31.6792
died,1st,male,NA,0,0,221.7792
survived,1st,female,NA,0,0,31.6833
survived,1st,female,NA,0,0,110.8833
survived,1st,male,36,0,0,26.3875
died,1st,male,30,0,0,27.75
survived,1st,female,24,3,2,263
survived,1st,female,28,3,2,263
survived,1st,female,23,3,2,263
died,1st,male,19,3,2,263
died,1st,male,64,1,4,263
survived,1st,female,60,1,4,263
survived,1st,female,30,0,0,56.9292
died,1st,male,NA,0,0,26.55
survived,1st,male,50,2,0,133.65
survived,1st,male,43,1,0,27.7208
survived,1st,female,NA,1,0,133.65
survived,1st,female,22,0,2,49.5
survived,1st,male,60,1,1,79.2
survived,1st,female,48,1,1,79.2
died,1st,male,NA,0,0,0
died,1st,male,37,1,0,53.1
survived,1st,female,35,1,0,53.1
died,1st,male,47,0,0,38.5
survived,1st,female,35,0,0,211.5
survived,1st,female,22,0,1,59.4
survived,1st,female,45,0,1,59.4
died,1st,male,24,0,0,79.2
survived,1st,male,49,1,0,89.1042
survived,1st,female,NA,1,0,89.1042
died,1st,male,71,0,0,34.6542
survived,1st,male,53,0,0,28.5
survived,1st,female,19,0,0,30
died,1st,male,38,0,1,153.4625
survived,1st,female,58,0,1,153.4625
survived,1st,male,23,0,1,63.3583
survived,1st,female,45,0,1,63.3583
died,1st,male,46,0,0,79.2
survived,1st,male,25,1,0,55.4417
survived,1st,female,25,1,0,55.4417
survived,1st,male,48,1,0,76.7292
survived,1st,female,49,1,0,76.7292
died,1st,male,NA,0,0,42.4
died,1st,male,45,1,0,83.475
survived,1st,female,35,1,0,83.475
died,1st,male,40,0,0,0
survived,1st,male,27,0,0,76.7292
survived,1st,male,NA,0,0,30
survived,1st,female,24,0,0,83.1583
died,1st,male,55,1,1,93.5
survived,1st,female,52,1,1,93.5
died,1st,male,42,0,0,42.5
died,1st,male,NA,0,0,51.8625
died,1st,male,55,0,0,50
survived,1st,female,16,0,1,57.9792
survived,1st,female,44,0,1,57.9792
survived,1st,female,51,1,0,77.9583
died,1st,male,42,1,0,52
survived,1st,female,35,1,0,52
survived,1st,male,35,0,0,26.55
survived,1st,male,38,1,0,90
died,1st,male,NA,0,0,30.6958
survived,1st,female,35,1,0,90
survived,1st,female,38,0,0,80
died,1st,female,50,0,0,28.7125
survived,1st,male,49,0,0,0
died,1st,male,46,0,0,26
died,1st,male,50,0,0,26
died,1st,male,32.5,0,0,211.5
died,1st,male,58,0,0,29.7
died,1st,male,41,1,0,51.8625
survived,1st,female,NA,1,0,51.8625
survived,1st,male,42,1,0,52.5542
survived,1st,female,45,1,0,52.5542
died,1st,male,NA,0,0,26.55
survived,1st,female,39,0,0,211.3375
survived,1st,female,49,0,0,25.9292
survived,1st,female,30,0,0,106.425
survived,1st,male,35,0,0,512.3292
died,1st,male,NA,0,0,27.7208
died,1st,male,42,0,0,26.55
survived,1st,female,55,0,0,27.7208
survived,1st,female,16,0,1,39.4
survived,1st,female,51,0,1,39.4
died,1st,male,29,0,0,30
survived,1st,female,21,0,0,77.9583
died,1st,male,30,0,0,45.5
survived,1st,female,58,0,0,146.5208
survived,1st,female,15,0,1,211.3375
died,1st,male,30,0,0,26
survived,1st,female,16,0,0,86.5
survived,1st,male,NA,0,0,29.7
died,1st,male,19,1,0,53.1
survived,1st,female,18,1,0,53.1
survived,1st,female,24,0,0,49.5042
died,1st,male,46,0,0,75.2417
died,1st,male,54,0,0,51.8625
survived,1st,male,36,0,0,26.2875
died,1st,male,28,1,0,82.1708
survived,1st,female,NA,1,0,82.1708
died,1st,male,65,0,0,26.55
died,1st,male,44,2,0,90
survived,1st,female,33,1,0,90
survived,1st,female,37,1,0,90
survived,1st,male,30,1,0,57.75
died,1st,male,55,0,0,30.5
died,1st,male,47,0,0,42.4
died,1st,male,37,0,1,29.7
survived,1st,female,31,1,0,113.275
survived,1st,female,23,1,0,113.275
died,1st,male,58,0,2,113.275
survived,1st,female,19,0,2,26.2833
died,1st,male,64,0,0,26
survived,1st,female,39,0,0,108.9
survived,1st,male,NA,0,0,25.7417
survived,1st,female,22,0,1,61.9792
died,1st,male,65,0,1,61.9792
died,1st,male,28.5,0,0,27.7208
died,1st,male,NA,0,0,0
died,1st,male,45.5,0,0,28.5
died,1st,male,23,0,0,93.5
died,1st,male,29,1,0,66.6
survived,1st,female,22,1,0,66.6
died,1st,male,18,1,0,108.9
survived,1st,female,17,1,0,108.9
survived,1st,female,30,0,0,93.5
survived,1st,male,52,0,0,30.5
died,1st,male,47,0,0,52
survived,1st,female,56,0,1,83.1583
died,1st,male,38,0,0,0
survived,1st,male,NA,0,0,39.6
died,1st,male,22,0,0,135.6333
died,1st,male,NA,0,0,227.525
survived,1st,female,43,0,1,211.3375
died,1st,male,31,0,0,50.4958
survived,1st,male,45,0,0,26.55
died,1st,male,NA,0,0,50
survived,1st,female,33,0,0,27.7208
died,1st,male,46,0,0,79.2
died,1st,male,36,0,0,40.125
survived,1st,female,33,0,0,86.5
died,1st,male,55,1,0,59.4
survived,1st,female,54,1,0,59.4
died,1st,male,33,0,0,26.55
survived,1st,male,13,2,2,262.375
survived,1st,female,18,2,2,262.375
survived,1st,female,21,2,2,262.375
died,1st,male,61,1,3,262.375
survived,1st,female,48,1,3,262.375
survived,1st,male,NA,0,0,30.5
survived,1st,female,24,0,0,69.3
survived,1st,male,NA,0,0,26
survived,1st,female,35,1,0,57.75
survived,1st,female,30,0,0,31
survived,1st,male,34,0,0,26.55
survived,1st,female,40,0,0,153.4625
survived,1st,male,35,0,0,26.2875
died,1st,male,50,1,0,55.9
survived,1st,female,39,1,0,55.9
survived,1st,male,56,0,0,35.5
survived,1st,male,28,0,0,35.5
died,1st,male,56,0,0,26.55
died,1st,male,56,0,0,30.6958
died,1st,male,24,1,0,60
died,1st,male,NA,0,0,26
survived,1st,female,18,1,0,60
survived,1st,male,24,1,0,82.2667
survived,1st,female,23,1,0,82.2667
survived,1st,male,6,0,2,134.5
survived,1st,male,45,1,1,134.5
survived,1st,female,40,1,1,134.5
died,1st,male,57,1,0,146.5208
survived,1st,female,NA,1,0,146.5208
survived,1st,male,32,0,0,30.5
died,1st,male,62,0,0,26.55
survived,1st,male,54,1,0,55.4417
survived,1st,female,43,1,0,55.4417
survived,1st,female,52,1,0,78.2667
died,1st,male,NA,0,0,27.7208
survived,1st,female,62,0,0,80
died,1st,male,67,1,0,221.7792
died,1st,female,63,1,0,221.7792
died,1st,male,61,0,0,32.3208
survived,1st,female,48,0,0,25.9292
survived,1st,female,18,0,2,79.65
died,1st,male,52,1,1,79.65
survived,1st,female,39,1,1,79.65
survived,1st,male,48,1,0,52
survived,1st,female,NA,1,0,52
died,1st,male,49,1,1,110.8833
survived,1st,male,17,0,2,110.8833
survived,1st,female,39,1,1,110.8833
survived,1st,female,NA,0,0,79.2
survived,1st,male,31,0,0,28.5375
died,1st,male,40,0,0,27.7208
died,1st,male,61,0,0,33.5
died,1st,male,47,0,0,34.0208
survived,1st,female,35,0,0,512.3292
died,1st,male,64,1,0,75.25
survived,1st,female,60,1,0,75.25
died,1st,male,60,0,0,26.55
died,1st,male,54,0,1,77.2875
died,1st,male,21,0,1,77.2875
survived,1st,female,55,0,0,135.6333
survived,1st,female,31,0,2,164.8667
died,1st,male,57,1,1,164.8667
survived,1st,female,45,1,1,164.8667
died,1st,male,50,1,1,211.5
died,1st,male,27,0,2,211.5
survived,1st,female,50,1,1,211.5
survived,1st,female,21,0,0,26.55
died,1st,male,51,0,1,61.3792
survived,1st,male,21,0,1,61.3792
died,1st,male,NA,0,0,35
survived,1st,female,31,0,0,134.5
survived,1st,male,NA,0,0,35.5
died,1st,male,62,0,0,26.55
survived,1st,female,36,0,0,135.6333
died,2nd,male,30,1,0,24
survived,2nd,female,28,1,0,24
died,2nd,male,30,0,0,13
died,2nd,male,18,0,0,11.5
died,2nd,male,25,0,0,10.5
died,2nd,male,34,1,0,26
survived,2nd,female,36,1,0,26
died,2nd,male,57,0,0,13
died,2nd,male,18,0,0,11.5
died,2nd,male,23,0,0,10.5
survived,2nd,female,36,0,0,13
died,2nd,male,28,0,0,10.5
died,2nd,male,51,0,0,12.525
survived,2nd,male,32,1,0,26
survived,2nd,female,19,1,0,26
died,2nd,male,28,0,0,26
survived,2nd,male,1,2,1,39
survived,2nd,female,4,2,1,39
survived,2nd,female,12,2,1,39
survived,2nd,female,36,0,3,39
survived,2nd,male,34,0,0,13
survived,2nd,female,19,0,0,13
died,2nd,male,23,0,0,13
died,2nd,male,26,0,0,13
died,2nd,male,42,0,0,13
died,2nd,male,27,0,0,13
survived,2nd,female,24,0,0,13
survived,2nd,female,15,0,2,39
died,2nd,male,60,1,1,39
survived,2nd,female,40,1,1,39
survived,2nd,female,20,1,0,26
died,2nd,male,25,1,0,26
survived,2nd,female,36,0,0,13
died,2nd,male,25,0,0,13
died,2nd,male,42,0,0,13
survived,2nd,female,42,0,0,13
survived,2nd,male,0.8333,0,2,29
survived,2nd,male,26,1,1,29
survived,2nd,female,22,1,1,29
survived,2nd,female,35,0,0,21
died,2nd,male,NA,0,0,0
died,2nd,male,19,0,0,13
died,2nd,female,44,1,0,26
died,2nd,male,54,1,0,26
died,2nd,male,52,0,0,13.5
died,2nd,male,37,1,0,26
died,2nd,female,29,1,0,26
survived,2nd,female,25,1,1,30
survived,2nd,female,45,0,2,30
died,2nd,male,29,1,0,26
survived,2nd,female,28,1,0,26
died,2nd,male,29,0,0,10.5
died,2nd,male,28,0,0,13
survived,2nd,male,24,0,0,10.5
survived,2nd,female,8,0,2,26.25
died,2nd,male,31,1,1,26.25
survived,2nd,female,31,1,1,26.25
survived,2nd,female,22,0,0,10.5
died,2nd,female,30,0,0,13
died,2nd,female,NA,0,0,21
died,2nd,male,21,0,0,11.5
died,2nd,male,NA,0,0,0
survived,2nd,male,8,1,1,36.75
died,2nd,male,18,0,0,73.5
survived,2nd,female,48,0,2,36.75
survived,2nd,female,28,0,0,13
died,2nd,male,32,0,0,13
died,2nd,male,17,0,0,73.5
died,2nd,male,29,1,0,27.7208
survived,2nd,female,24,1,0,27.7208
died,2nd,male,25,0,0,31.5
died,2nd,male,18,0,0,73.5
survived,2nd,female,18,0,1,23
survived,2nd,female,34,0,1,23
died,2nd,male,54,0,0,26
survived,2nd,male,8,0,2,32.5
died,2nd,male,42,1,1,32.5
survived,2nd,female,34,1,1,32.5
survived,2nd,female,27,1,0,13.8583
survived,2nd,female,30,1,0,13.8583
died,2nd,male,23,0,0,13
died,2nd,male,21,0,0,13
died,2nd,male,18,0,0,13
died,2nd,male,40,1,0,26
survived,2nd,female,29,1,0,26
died,2nd,male,18,0,0,10.5
died,2nd,male,36,0,0,13
died,2nd,male,NA,0,0,0
died,2nd,female,38,0,0,13
died,2nd,male,35,0,0,26
died,2nd,male,38,1,0,21
died,2nd,male,34,1,0,21
survived,2nd,female,34,0,0,13
died,2nd,male,16,0,0,26
died,2nd,male,26,0,0,10.5
died,2nd,male,47,0,0,10.5
died,2nd,male,21,1,0,11.5
died,2nd,male,21,1,0,11.5
died,2nd,male,24,0,0,13.5
died,2nd,male,24,0,0,13
died,2nd,male,34,0,0,13
died,2nd,male,30,0,0,13
died,2nd,male,52,0,0,13
died,2nd,male,30,0,0,13
survived,2nd,male,0.6667,1,1,14.5
survived,2nd,female,24,0,2,14.5
died,2nd,male,44,0,0,13
survived,2nd,female,6,0,1,33
died,2nd,male,28,0,1,33
survived,2nd,male,62,0,0,10.5
died,2nd,male,30,0,0,10.5
survived,2nd,female,7,0,2,26.25
died,2nd,male,43,1,1,26.25
survived,2nd,female,45,1,1,26.25
survived,2nd,female,24,1,2,65
survived,2nd,female,24,1,2,65
died,2nd,male,49,1,2,65
survived,2nd,female,48,1,2,65
survived,2nd,female,55,0,0,16
died,2nd,male,24,2,0,73.5
died,2nd,male,32,2,0,73.5
died,2nd,male,21,2,0,73.5
died,2nd,female,18,1,1,13
survived,2nd,female,20,2,1,23
died,2nd,male,23,2,1,11.5
died,2nd,male,36,0,0,13
survived,2nd,female,54,1,3,23
died,2nd,male,50,0,0,13
died,2nd,male,44,1,0,26
survived,2nd,female,29,1,0,26
died,2nd,male,21,0,0,73.5
survived,2nd,male,42,0,0,13
died,2nd,male,63,1,0,26
died,2nd,female,60,1,0,26
died,2nd,male,33,0,0,12.275
survived,2nd,female,17,0,0,10.5
died,2nd,male,42,1,0,27
survived,2nd,female,24,2,1,27
died,2nd,male,47,0,0,15
died,2nd,male,24,2,0,31.5
died,2nd,male,22,2,0,31.5
died,2nd,male,32,0,0,10.5
survived,2nd,female,23,0,0,13.7917
died,2nd,male,34,1,0,26
survived,2nd,female,24,1,0,26
died,2nd,female,22,0,0,21
survived,2nd,female,NA,0,0,12.35
died,2nd,male,35,0,0,12.35
survived,2nd,female,45,0,0,13.5
died,2nd,male,57,0,0,12.35
died,2nd,male,NA,0,0,0
died,2nd,male,31,0,0,10.5
died,2nd,female,26,1,1,26
died,2nd,male,30,1,1,26
died,2nd,male,NA,0,0,10.7083
survived,2nd,female,1,1,2,41.5792
survived,2nd,female,3,1,2,41.5792
died,2nd,male,25,1,2,41.5792
survived,2nd,female,22,1,2,41.5792
survived,2nd,female,17,0,0,12
survived,2nd,female,NA,0,0,33
survived,2nd,female,34,0,0,10.5
died,2nd,male,36,0,0,12.875
died,2nd,male,24,0,0,10.5
died,2nd,male,61,0,0,12.35
died,2nd,male,50,1,0,26
survived,2nd,female,42,1,0,26
died,2nd,female,57,0,0,10.5
died,2nd,male,NA,0,0,15.0458
survived,2nd,male,1,0,2,37.0042
died,2nd,male,31,1,1,37.0042
survived,2nd,female,24,1,1,37.0042
died,2nd,male,NA,0,0,15.5792
died,2nd,male,30,0,0,13
died,2nd,male,40,0,0,16
died,2nd,male,32,0,0,13.5
died,2nd,male,30,0,0,13
died,2nd,male,46,0,0,26
survived,2nd,female,13,0,1,19.5
survived,2nd,female,41,0,1,19.5
survived,2nd,male,19,0,0,10.5
died,2nd,male,39,0,0,13
died,2nd,male,48,0,0,13
died,2nd,male,70,0,0,10.5
died,2nd,male,27,0,0,13
died,2nd,male,54,0,0,14
died,2nd,male,39,0,0,26
died,2nd,male,16,0,0,10.5
died,2nd,male,62,0,0,9.6875
died,2nd,male,32.5,1,0,30.0708
survived,2nd,female,14,1,0,30.0708
survived,2nd,male,2,1,1,26
survived,2nd,male,3,1,1,26
died,2nd,male,36.5,0,2,26
died,2nd,male,26,0,0,13
died,2nd,male,19,1,1,36.75
died,2nd,male,28,0,0,13.5
survived,2nd,male,20,0,0,13.8625
survived,2nd,female,29,0,0,10.5
died,2nd,male,39,0,0,13
survived,2nd,male,22,0,0,10.5
survived,2nd,male,NA,0,0,13.8625
died,2nd,male,23,0,0,10.5
survived,2nd,male,29,0,0,13.8583
died,2nd,male,28,0,0,10.5
died,2nd,male,NA,0,0,0
survived,2nd,female,50,0,1,26
died,2nd,male,19,0,0,10.5
died,2nd,male,NA,0,0,15.05
died,2nd,male,41,0,0,13
survived,2nd,female,21,0,1,21
survived,2nd,female,19,0,0,26
died,2nd,male,43,0,1,21
survived,2nd,female,32,0,0,13
died,2nd,male,34,0,0,13
survived,2nd,male,30,0,0,12.7375
died,2nd,male,27,0,0,15.0333
survived,2nd,female,2,1,1,26
survived,2nd,female,8,1,1,26
survived,2nd,female,33,0,2,26
died,2nd,male,36,0,0,10.5
died,2nd,male,34,1,0,21
survived,2nd,female,30,3,0,21
survived,2nd,female,28,0,0,13
died,2nd,male,23,0,0,15.0458
survived,2nd,male,0.8333,1,1,18.75
survived,2nd,male,3,1,1,18.75
survived,2nd,female,24,2,3,18.75
survived,2nd,female,50,0,0,10.5
died,2nd,male,19,0,0,10.5
survived,2nd,female,21,0,0,10.5
died,2nd,male,26,0,0,13
died,2nd,male,25,0,0,13
died,2nd,male,27,0,0,26
survived,2nd,female,25,0,1,26
survived,2nd,female,18,0,2,13
survived,2nd,female,20,0,0,36.75
survived,2nd,female,30,0,0,13
died,2nd,male,59,0,0,13.5
survived,2nd,female,30,0,0,12.35
died,2nd,male,35,0,0,10.5
survived,2nd,female,40,0,0,13
died,2nd,male,25,0,0,13
died,2nd,male,41,0,0,15.0458
died,2nd,male,25,0,0,10.5
died,2nd,male,18.5,0,0,13
died,2nd,male,14,0,0,65
survived,2nd,female,50,0,0,10.5
died,2nd,male,23,0,0,13
survived,2nd,female,28,0,0,12.65
survived,2nd,female,27,0,0,10.5
died,2nd,male,29,1,0,21
died,2nd,female,27,1,0,21
died,2nd,male,40,0,0,13
survived,2nd,female,31,0,0,21
died,2nd,male,30,1,0,21
died,2nd,male,23,1,0,10.5
survived,2nd,female,31,0,0,21
died,2nd,male,NA,0,0,0
survived,2nd,female,12,0,0,15.75
survived,2nd,female,40,0,0,15.75
survived,2nd,female,32.5,0,0,13
died,2nd,male,27,1,0,26
survived,2nd,female,29,1,0,26
survived,2nd,male,2,1,1,23
survived,2nd,female,4,1,1,23
survived,2nd,female,29,0,2,23
survived,2nd,female,0.9167,1,2,27.75
survived,2nd,female,5,1,2,27.75
died,2nd,male,36,1,2,27.75
survived,2nd,female,33,1,2,27.75
died,2nd,male,66,0,0,10.5
died,2nd,male,NA,0,0,12.875
survived,2nd,male,31,0,0,13
survived,2nd,male,NA,0,0,13
survived,2nd,female,26,0,0,13.5
died,2nd,female,24,0,0,13
died,3rd,male,42,0,0,7.55
died,3rd,male,13,0,2,20.25
died,3rd,male,16,1,1,20.25
survived,3rd,female,35,1,1,20.25
survived,3rd,female,16,0,0,7.65
survived,3rd,male,25,0,0,7.65
survived,3rd,male,20,0,0,7.925
survived,3rd,female,18,0,0,7.2292
died,3rd,male,30,0,0,7.25
died,3rd,male,26,0,0,8.05
died,3rd,female,40,1,0,9.475
survived,3rd,male,0.8333,0,1,9.35
survived,3rd,female,18,0,1,9.35
survived,3rd,male,26,0,0,18.7875
died,3rd,male,26,0,0,7.8875
died,3rd,male,20,0,0,7.925
died,3rd,male,24,0,0,7.05
died,3rd,male,25,0,0,7.05
died,3rd,male,35,0,0,8.05
died,3rd,male,18,0,0,8.3
died,3rd,male,32,0,0,22.525
survived,3rd,female,19,1,0,7.8542
died,3rd,male,4,4,2,31.275
died,3rd,female,6,4,2,31.275
died,3rd,female,2,4,2,31.275
survived,3rd,female,17,4,2,7.925
died,3rd,female,38,4,2,7.775
died,3rd,female,9,4,2,31.275
died,3rd,female,11,4,2,31.275
died,3rd,male,39,1,5,31.275
survived,3rd,male,27,0,0,7.7958
died,3rd,male,26,0,0,7.775
died,3rd,female,39,1,5,31.275
died,3rd,male,20,0,0,7.8542
died,3rd,male,26,0,0,7.8958
died,3rd,male,25,1,0,17.8
died,3rd,female,18,1,0,17.8
died,3rd,male,24,0,0,7.775
died,3rd,male,35,0,0,7.05
died,3rd,male,5,4,2,31.3875
died,3rd,male,9,4,2,31.3875
survived,3rd,male,3,4,2,31.3875
died,3rd,male,13,4,2,31.3875
survived,3rd,female,5,4,2,31.3875
died,3rd,male,40,1,5,31.3875
survived,3rd,male,23,0,0,7.7958
survived,3rd,female,38,1,5,31.3875
